id,Nombre,Plataforma,Marca,Puntuacion_usuario
0,Madden NFL 21,PlayStation4,PlayStation,2.0
1,Madden NFL 21,XboxOne,Xbox,4.0
2,Tom Clancy's The Division 2: Warlords of New York,PC,PC_Gamer,5.0
3,Warcraft III: Reforged,PC,PC_Gamer,6.0
4,NBA 2K21,PlayStation4,PlayStation,7.0
5,FIFA 21,PlayStation4,PlayStation,8.0
6,FIFA 20: Legacy Edition,Switch,Nintendo,9.0
7,WWE 2K20,XboxOne,Xbox,11.0
8,FIFA 21,XboxOne,Xbox,11.0
9,The Sims 4: Star Wars - Journey to Batuu,PC,PC_Gamer,11.0
10,Tom Clancy's The Division 2: Warlords of New York,XboxOne,Xbox,11.0
11,Tom Clancy's The Division 2: Warlords of New York,PlayStation4,PlayStation,11.0
12,Call of Duty: Modern Warfare 3 - Defiance,DS,Nintendo,12.0
13,FIFA 20,PlayStation4,PlayStation,12.0
14,Ride to Hell: Retribution,Xbox360,Xbox,13.0
15,Metal Gear Survive,PC,PC_Gamer,13.0
16,FIFA 21,PC,PC_Gamer,13.0
17,Alone in the Dark: Illumination,PC,PC_Gamer,13.0
18,FIFA 20,XboxOne,Xbox,13.0
19,Fast & Furious: Showdown,Xbox360,Xbox,13.0
20,Ride to Hell: Retribution,PC,PC_Gamer,13.0
21,NBA 2K20,PlayStation4,PlayStation,13.0
22,Ghostbusters,PlayStation4,PlayStation,14.0
23,Metal Gear Survive,PlayStation4,PlayStation,14.0
24,NBA 2K20,XboxOne,Xbox,14.0
25,Mindjack,Xbox360,Xbox,14.0
26,Destiny 2: Curse of Osiris,XboxOne,Xbox,14.0
27,Star Wars Battlefront II,PC,PC_Gamer,15.0
28,Star Wars Battlefront II,XboxOne,Xbox,15.0
29,Thrillville: Off the Rails,PSP,PlayStation,15.0
30,Sacred 3,PC,PC_Gamer,15.0
31,Legends of Pegasus,PC,PC_Gamer,15.0
32,WWE 2K20,PlayStation4,PlayStation,15.0
33,Extinction,PlayStation4,PlayStation,15.0
34,Dragon Ball: Evolution,PSP,PlayStation,15.0
35,R.I.P.D. The Game,PC,PC_Gamer,15.0
36,Wild West Online,PC,PC_Gamer,15.0
37,Destiny 2: Curse of Osiris,PlayStation4,PlayStation,15.0
38,Tony Hawk's Pro Skater 5,PlayStation4,PlayStation,15.0
39,R.I.P.D. The Game,PC,PC_Gamer,15.0
40,Double Dragon II: Wander of the Dragons,Xbox360,Xbox,15.0
41,EA SPORTS UFC 4,PlayStation4,PlayStation,15.0
42,Fimbul,PlayStation4,PlayStation,15.0
43,Star Wars Battlefront II,PlayStation4,PlayStation,15.0
44,Rambo: The Video Game,PC,PC_Gamer,16.0
45,Call of Duty: WWII - The War Machine,PlayStation4,PlayStation,16.0
46,NBA 2K18,XboxOne,Xbox,16.0
47,Giga Wrecker Alt.,PlayStation4,PlayStation,16.0
48,Pool Party,Wii,Nintendo,16.0
49,Call of Duty: Infinite Warfare - Sabotage,PlayStation4,PlayStation,16.0
50,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,PlayStation,17.0
51,Extinction,XboxOne,Xbox,17.0
52,Destiny 2: Curse of Osiris,PC,PC_Gamer,17.0
53,Thundercats,DS,Nintendo,17.0
54,Cities XXL,PC,PC_Gamer,17.0
55,Drake of the 99 Dragons,Xbox,Xbox,17.0
56,Infestation: Survivor Stories (The War Z),PC,PC_Gamer,17.0
57,NBA 2K21,XboxOne,Xbox,17.0
58,NBA 2K18,PlayStation4,PlayStation,17.0
59,Clash of the Titans,PlayStation3,PlayStation,17.0
60,Thrillville,Xbox,Xbox,17.0
61,Attack of the Movies 3D,Xbox360,Xbox,17.0
62,NBA 2K20,Switch,Nintendo,18.0
63,Kabuki Warriors,Xbox,Xbox,18.0
64,Tennis World Tour,XboxOne,Xbox,18.0
65,Fast & Furious Crossroads,PlayStation4,PlayStation,18.0
66,Rambo: The Video Game,PlayStation3,PlayStation,18.0
67,NBA Unrivaled,PlayStation3,PlayStation,18.0
68,The History Channel: Battle for the Pacific,PlayStation3,PlayStation,18.0
69,OVERPASS,PlayStation4,PlayStation,19.0
70,Tom Clancy's Ghost Recon 2,GameCube,Nintendo,19.0
71,MTV's Celebrity Deathmatch,Xbox,Xbox,19.0
72,The LEGO Movie 2 Videogame,PlayStation4,PlayStation,19.0
73,Wallace & Gromit in Project Zoo,Xbox,Xbox,19.0
74,Madden NFL 20,XboxOne,Xbox,19.0
75,Battleship,Xbox360,Xbox,19.0
76,Leisure Suit Larry: Box Office Bust,PlayStation3,PlayStation,19.0
77,The Quiet Man,PlayStation4,PlayStation,19.0
78,Mindjack,PlayStation3,PlayStation,19.0
79,Arcania: Fall of Setarrif,PC,PC_Gamer,19.0
80,Madden NFL 19,PlayStation4,PlayStation,20.0
81,Corpse of Discovery,PC,PC_Gamer,20.0
82,Extinction,PC,PC_Gamer,20.0
83,FIFA 19,PlayStation4,PlayStation,20.0
84,The Dark Eye : Book of Heroes,PC,PC_Gamer,20.0
85,Charlie and the Chocolate Factory,Xbox,Xbox,20.0
86,Battlefield: Play4Free,PC,PC_Gamer,20.0
87,Fast & Furious Crossroads,PC,PC_Gamer,20.0
88,Super Dungeon Bros,PlayStation4,PlayStation,20.0
89,Call of Duty: Modern Warfare 3,Wii,Nintendo,20.0
90,Catan,Switch,Nintendo,20.0
91,Zathura,PlayStation2,PlayStation,20.0
92,Metal Gear Survive,XboxOne,Xbox,20.0
93,Tony Hawk Ride,PlayStation3,PlayStation,20.0
94,Wallace & Gromit: Curse of the Were-Rabbit,Xbox,Xbox,20.0
95,Terminator 3: Rise of the Machines,Xbox,Xbox,20.0
96,SoulCalibur: Lost Swords,PlayStation3,PlayStation,20.0
97,Road Rage,PlayStation4,PlayStation,20.0
98,Gleamlight,Switch,Nintendo,20.0
99,Family Party: 30 Great Games Obstacle Arcade,WiiU,Nintendo,20.0
100,Bad Boys: Miami Takedown,GameCube,Nintendo,20.0
101,Without Warning,Xbox,Xbox,20.0
102,Leisure Suit Larry: Box Office Bust,PC,PC_Gamer,20.0
103,Command & Conquer 4: Tiberian Twilight,PC,PC_Gamer,21.0
104,Company of Heroes 2,PC,PC_Gamer,21.0
105,Power Gig: Rise of the SixString,Xbox360,Xbox,21.0
106,Chime Sharp,XboxOne,Xbox,21.0
107,Underworld Ascendant,PC,PC_Gamer,21.0
108,RollerCoaster Tycoon World,PC,PC_Gamer,21.0
109,Umbrella Corps,PC,PC_Gamer,21.0
110,Rekoil,PC,PC_Gamer,21.0
111,CSI: NY,PC,PC_Gamer,21.0
112,Tony Hawk's Pro Skater 5,XboxOne,Xbox,21.0
113,Star Trek The Video Game,PlayStation3,PlayStation,21.0
114,Crisis on the Planet of the Apes VR,PlayStation4,PlayStation,21.0
115,Pulse Racer,Xbox,Xbox,22.0
116,Call of Duty: Ghosts,PC,PC_Gamer,22.0
117,Inkheart,DS,Nintendo,22.0
118,Darksiders III: Keepers of the Void,PlayStation4,PlayStation,22.0
119,Bomberman: Act Zero,Xbox360,Xbox,22.0
120,SimAnimals,Wii,Nintendo,22.0
121,SimCity,PC,PC_Gamer,22.0
122,Spore Hero Arena,DS,Nintendo,22.0
123,Artifact,PC,PC_Gamer,22.0
124,The Sims 2: Apartment Pets,DS,Nintendo,22.0
125,Deal or No Deal,DS,Nintendo,22.0
126,Super Dungeon Bros,XboxOne,Xbox,22.0
127,Dragon Ball Z for Kinect,Xbox360,Xbox,22.0
128,Rambo: The Video Game,Xbox360,Xbox,23.0
129,FIFA 19,XboxOne,Xbox,23.0
130,LOL: Never Party Alone!,DS,Nintendo,23.0
131,Shadow Harvest: Phantom Ops,PC,PC_Gamer,23.0
132,Commandos 2 HD Remaster,PC,PC_Gamer,23.0
133,The Bunker,Switch,Nintendo,23.0
134,Thrillville: Off the Rails,PlayStation2,PlayStation,23.0
135,Wolfenstein: Youngblood,PC,PC_Gamer,23.0
136,Battlefield V,PlayStation4,PlayStation,23.0
137,Star Trek The Video Game,PC,PC_Gamer,23.0
138,Sonic Free Riders,Xbox360,Xbox,23.0
