,Puntuacion_usuario,Marca
16640,98.0,PlayStation
16639,97.0,PlayStation
16638,97.0,PlayStation
16629,96.0,PlayStation
16612,92.0,PlayStation
16596,92.0,PlayStation
16597,92.0,PlayStation
16599,92.0,PlayStation
16602,92.0,PlayStation
16611,92.0,PlayStation
16610,92.0,PlayStation
16614,92.0,PlayStation
16615,92.0,PlayStation
16618,92.0,PlayStation
16623,92.0,PlayStation
16624,92.0,PlayStation
16566,91.0,PlayStation
16542,91.0,PlayStation
16545,91.0,PlayStation
16546,91.0,PlayStation
16551,91.0,PlayStation
16553,91.0,PlayStation
16558,91.0,PlayStation
16560,91.0,PlayStation
16565,91.0,PlayStation
16583,91.0,PlayStation
16573,91.0,PlayStation
16581,91.0,PlayStation
16589,91.0,PlayStation
16590,91.0,PlayStation
16593,91.0,PlayStation
16594,91.0,PlayStation
16595,91.0,PlayStation
16578,91.0,PlayStation
16503,90.0,PlayStation
16516,90.0,PlayStation
16514,90.0,PlayStation
16507,90.0,PlayStation
16506,90.0,PlayStation
16482,90.0,PlayStation
16498,90.0,PlayStation
16497,90.0,PlayStation
16486,90.0,PlayStation
16520,90.0,PlayStation
16518,90.0,PlayStation
16527,90.0,PlayStation
16521,90.0,PlayStation
16523,90.0,PlayStation
16525,90.0,PlayStation
16526,90.0,PlayStation
16528,90.0,PlayStation
16535,90.0,PlayStation
16537,90.0,PlayStation
16539,90.0,PlayStation
16522,90.0,PlayStation
16402,89.0,PlayStation
16396,89.0,PlayStation
16397,89.0,PlayStation
16401,89.0,PlayStation
16415,89.0,PlayStation
16405,89.0,PlayStation
16411,89.0,PlayStation
16413,89.0,PlayStation
16394,89.0,PlayStation
16420,89.0,PlayStation
16395,89.0,PlayStation
16378,89.0,PlayStation
16388,89.0,PlayStation
16386,89.0,PlayStation
16384,89.0,PlayStation
16377,89.0,PlayStation
16375,89.0,PlayStation
16374,89.0,PlayStation
16371,89.0,PlayStation
16370,89.0,PlayStation
16362,89.0,PlayStation
16438,89.0,PlayStation
16421,89.0,PlayStation
16423,89.0,PlayStation
16472,89.0,PlayStation
16463,89.0,PlayStation
16442,89.0,PlayStation
16481,89.0,PlayStation
16479,89.0,PlayStation
16477,89.0,PlayStation
16475,89.0,PlayStation
16473,89.0,PlayStation
16470,89.0,PlayStation
16468,89.0,PlayStation
16465,89.0,PlayStation
16464,89.0,PlayStation
16461,89.0,PlayStation
16460,89.0,PlayStation
16459,89.0,PlayStation
16457,89.0,PlayStation
16456,89.0,PlayStation
16455,89.0,PlayStation
16453,89.0,PlayStation
16451,89.0,PlayStation
16450,89.0,PlayStation
16445,89.0,PlayStation
16157,88.0,PlayStation
16165,88.0,PlayStation
16164,88.0,PlayStation
16162,88.0,PlayStation
16159,88.0,PlayStation
16222,88.0,PlayStation
16155,88.0,PlayStation
16153,88.0,PlayStation
16151,88.0,PlayStation
16145,88.0,PlayStation
16144,88.0,PlayStation
16168,88.0,PlayStation
16166,88.0,PlayStation
16205,88.0,PlayStation
16177,88.0,PlayStation
16180,88.0,PlayStation
16181,88.0,PlayStation
16183,88.0,PlayStation
16190,88.0,PlayStation
16191,88.0,PlayStation
16196,88.0,PlayStation
16197,88.0,PlayStation
16203,88.0,PlayStation
16204,88.0,PlayStation
16136,88.0,PlayStation
16209,88.0,PlayStation
16211,88.0,PlayStation
16140,88.0,PlayStation
16102,88.0,PlayStation
16135,88.0,PlayStation
16131,88.0,PlayStation
16058,88.0,PlayStation
16059,88.0,PlayStation
16060,88.0,PlayStation
16062,88.0,PlayStation
16064,88.0,PlayStation
16065,88.0,PlayStation
16069,88.0,PlayStation
16072,88.0,PlayStation
16076,88.0,PlayStation
16080,88.0,PlayStation
16083,88.0,PlayStation
16084,88.0,PlayStation
16088,88.0,PlayStation
16090,88.0,PlayStation
16096,88.0,PlayStation
16097,88.0,PlayStation
16110,88.0,PlayStation
16113,88.0,PlayStation
16114,88.0,PlayStation
16117,88.0,PlayStation
16119,88.0,PlayStation
16124,88.0,PlayStation
16127,88.0,PlayStation
16129,88.0,PlayStation
16130,88.0,PlayStation
16217,88.0,PlayStation
16275,88.0,PlayStation
16223,88.0,PlayStation
16288,88.0,PlayStation
16293,88.0,PlayStation
16296,88.0,PlayStation
16299,88.0,PlayStation
16301,88.0,PlayStation
16302,88.0,PlayStation
16306,88.0,PlayStation
16307,88.0,PlayStation
16311,88.0,PlayStation
16312,88.0,PlayStation
16321,88.0,PlayStation
16324,88.0,PlayStation
16327,88.0,PlayStation
16329,88.0,PlayStation
16334,88.0,PlayStation
16338,88.0,PlayStation
16340,88.0,PlayStation
16341,88.0,PlayStation
16342,88.0,PlayStation
16343,88.0,PlayStation
16346,88.0,PlayStation
16351,88.0,PlayStation
16354,88.0,PlayStation
16355,88.0,PlayStation
16356,88.0,PlayStation
16227,88.0,PlayStation
16292,88.0,PlayStation
16323,88.0,PlayStation
16283,88.0,PlayStation
16258,88.0,PlayStation
16282,88.0,PlayStation
16231,88.0,PlayStation
16232,88.0,PlayStation
16236,88.0,PlayStation
16245,88.0,PlayStation
16247,88.0,PlayStation
16249,88.0,PlayStation
16250,88.0,PlayStation
16251,88.0,PlayStation
16252,88.0,PlayStation
16253,88.0,PlayStation
16254,88.0,PlayStation
16228,88.0,PlayStation
16260,88.0,PlayStation
16273,88.0,PlayStation
16261,88.0,PlayStation
16280,88.0,PlayStation
16279,88.0,PlayStation
16277,88.0,PlayStation
16281,88.0,PlayStation
16271,88.0,PlayStation
16270,88.0,PlayStation
16269,88.0,PlayStation
16262,88.0,PlayStation
15850,87.0,PlayStation
15855,87.0,PlayStation
15854,87.0,PlayStation
15853,87.0,PlayStation
15835,87.0,PlayStation
15851,87.0,PlayStation
15842,87.0,PlayStation
15847,87.0,PlayStation
15836,87.0,PlayStation
15841,87.0,PlayStation
15838,87.0,PlayStation
15860,87.0,PlayStation
15857,87.0,PlayStation
15873,87.0,PlayStation
15866,87.0,PlayStation
15867,87.0,PlayStation
15869,87.0,PlayStation
15870,87.0,PlayStation
15871,87.0,PlayStation
15875,87.0,PlayStation
15885,87.0,PlayStation
15888,87.0,PlayStation
15889,87.0,PlayStation
15893,87.0,PlayStation
15896,87.0,PlayStation
15898,87.0,PlayStation
15829,87.0,PlayStation
15831,87.0,PlayStation
15755,87.0,PlayStation
15826,87.0,PlayStation
15825,87.0,PlayStation
15902,87.0,PlayStation
15757,87.0,PlayStation
15765,87.0,PlayStation
15766,87.0,PlayStation
15768,87.0,PlayStation
15771,87.0,PlayStation
15775,87.0,PlayStation
15776,87.0,PlayStation
15778,87.0,PlayStation
15788,87.0,PlayStation
15789,87.0,PlayStation
15790,87.0,PlayStation
15791,87.0,PlayStation
15794,87.0,PlayStation
15795,87.0,PlayStation
15797,87.0,PlayStation
15803,87.0,PlayStation
15807,87.0,PlayStation
15811,87.0,PlayStation
15813,87.0,PlayStation
15818,87.0,PlayStation
15819,87.0,PlayStation
15821,87.0,PlayStation
15822,87.0,PlayStation
15823,87.0,PlayStation
15901,87.0,PlayStation
15763,87.0,PlayStation
15904,87.0,PlayStation
16022,87.0,PlayStation
15971,87.0,PlayStation
15985,87.0,PlayStation
15986,87.0,PlayStation
15987,87.0,PlayStation
15991,87.0,PlayStation
15995,87.0,PlayStation
15999,87.0,PlayStation
16001,87.0,PlayStation
16006,87.0,PlayStation
16007,87.0,PlayStation
16013,87.0,PlayStation
16020,87.0,PlayStation
16031,87.0,PlayStation
15968,87.0,PlayStation
16033,87.0,PlayStation
16034,87.0,PlayStation
16035,87.0,PlayStation
16036,87.0,PlayStation
16039,87.0,PlayStation
16040,87.0,PlayStation
16043,87.0,PlayStation
16045,87.0,PlayStation
16047,87.0,PlayStation
15910,87.0,PlayStation
16048,87.0,PlayStation
16051,87.0,PlayStation
15970,87.0,PlayStation
16028,87.0,PlayStation
15967,87.0,PlayStation
15945,87.0,PlayStation
15965,87.0,PlayStation
15917,87.0,PlayStation
15918,87.0,PlayStation
15920,87.0,PlayStation
15923,87.0,PlayStation
15927,87.0,PlayStation
15928,87.0,PlayStation
15933,87.0,PlayStation
15938,87.0,PlayStation
15941,87.0,PlayStation
15942,87.0,PlayStation
15944,87.0,PlayStation
15932,87.0,PlayStation
